"datefed","species","site","ratID","seedfate"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","francois","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
"8/11/2017","aidia","anao","pepe","destroyed"
